iter	Passed	Remaining
0	855	8557320
1	1655	8276518
2	1671	5570895
3	1791	4476139
4	1807	3612552
5	1814	3023172
6	1826	2607020
7	1833	2290063
8	2579	2863287
9	3340	3336842
10	3349	3042038
11	3765	3134516
12	4562	3504862
13	4570	3259716
14	4596	3059566
15	4625	2886221
16	5368	3152592
17	5374	2980515
18	6114	3212305
19	6863	3424929
20	7582	3603155
21	8308	3768481
22	9033	3918447
23	9788	4068583
24	9792	3907226
25	9798	3759025
26	10519	3885725
27	11225	3997760
28	11253	3869132
29	11985	3983216
30	12399	3987303
31	13105	4082266
32	13834	4178386
33	14562	4268530
34	15310	4359029
35	16074	4449002
36	16079	4329770
37	16813	4407914
38	17544	4481097
39	18267	4548508
40	18966	4607111
41	19710	4673338
42	20434	4731890
43	21193	4795475
44	21933	4852266
45	21940	4747643
46	22668	4800378
47	22696	4705785
48	22704	4610836
49	22720	4521417
50	23441	4572983
51	23468	4489669
52	23475	4405929
53	24218	4460664
54	24956	4512638
55	25698	4563314
56	26467	4617011
57	26518	4545635
58	26530	4470134
59	27281	4519579
60	27290	4446497
61	27397	4391485
62	27403	4322412
63	28133	4367788
64	28864	4411796
65	29588	4453536
66	30305	4492865
67	31053	4535619
68	31771	4572749
69	32501	4610570
70	33210	4644368
71	33934	4679235
72	34699	4718684
73	35414	4750262
74	36141	4782766
75	36872	4814765
76	37616	4847582
77	38255	4866235
78	38972	4894228
79	39682	4920691
80	40423	4950180
81	41189	4981919
82	41905	5006982
83	42624	5031695
84	43349	5056550
85	44077	5081181
86	44088	5023503
87	44843	5051000
88	45551	5072574
89	46264	5094187
90	46971	5114771
91	47680	5135019
92	48421	5158235
93	49117	5176139
94	49705	5182466
95	50433	5203072
96	51208	5227976
97	52108	5265050
98	53038	5304371
99	54011	5347140
100	54857	5376567
101	55951	5429454
102	56767	5454600
103	57507	5472033
104	58244	5488831
105	58971	5504360
106	59645	5514725
107	60348	5527448
108	61008	5536142
109	61702	5547611
110	62433	5562168
111	63127	5573267
112	63847	5586398
113	64583	5600658
114	65178	5602523
115	65914	5616371
116	66665	5631210
117	67393	5643955
118	68168	5660248
119	68172	5612854
120	68904	5625648
121	68910	5579487
122	69625	5590953
123	70287	5598072
124	71020	5610646
125	71661	5615736
126	72350	5624512
127	72365	5581161
128	73094	5593169
129	73878	5609090
130	74672	5625530
131	75426	5638712
132	76132	5648132
133	76843	5657769
134	77523	5664971
135	78225	5673670
136	78917	5681488
137	79590	5687815
138	80406	5704218
139	81113	5712725
140	81824	5721308
141	82552	5731034
142	83325	5743666
143	84056	5753170
144	84761	5760881
145	85463	5768192
146	86187	5776910
147	86921	5786152
148	87743	5801071
149	88655	5821718
150	89705	5851029
151	90756	5880053
152	91829	5910084
153	92851	5936464
154	93844	5960627
155	94700	5975827
156	95524	5988834
157	96345	6001445
